categories,name,rating,review_count,location,coordinates,city
"['Art Galleries', 'Art Consultants']",ABRA Gallery,5.0,8,"{'address1': '713 East Las Olas Blvd', 'address2': '', 'address3': '', 'city': 'Fort Lauderdale', 'zip_code': '33301', 'country': 'US', 'state': 'FL', 'display_address': ['713 East Las Olas Blvd', 'Fort Lauderdale, FL 33301']}","{'latitude': 26.119515, 'longitude': -80.135902}",Miami
"['Party & Event Planning', 'Paint & Sip', 'Art Classes']",Yaymaker,5.0,8,"{'address1': None, 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33130', 'country': 'US', 'state': 'FL', 'display_address': ['Miami, FL 33130']}","{'latitude': 25.7405290927732, 'longitude': -80.22216796875}",Miami
['LAN Centers'],Next Level Gaming Miami,5.0,4,"{'address1': '10772 SW 24th St', 'address2': '', 'address3': None, 'city': 'Miami', 'zip_code': '33165', 'country': 'US', 'state': 'FL', 'display_address': ['10772 SW 24th St', 'Miami, FL 33165']}","{'latitude': 25.7461, 'longitude': -80.36895}",Miami
"['Coffee & Tea', 'Music Venues', 'Bars']",Twisted Roots Kava Brewery,4.5,55,"{'address1': '2037 Hollywood Blvd', 'address2': None, 'address3': '', 'city': 'Hollywood', 'zip_code': '33020', 'country': 'US', 'state': 'FL', 'display_address': ['2037 Hollywood Blvd', 'Hollywood, FL 33020']}","{'latitude': 26.01173, 'longitude': -80.14856}",Miami
"['Art Galleries', 'Museums']",Museum of Graffiti,4.5,46,"{'address1': '276 NW 26th St', 'address2': '', 'address3': None, 'city': 'Miami', 'zip_code': '33127', 'country': 'US', 'state': 'FL', 'display_address': ['276 NW 26th St', 'Miami, FL 33127']}","{'latitude': 25.801198, 'longitude': -80.200649}",Miami
"['Art Museums', 'Venues & Event Spaces']",Original Selfie Museum,4.5,65,"{'address1': '179 NW 25th St', 'address2': '', 'address3': None, 'city': 'Miami', 'zip_code': '33127', 'country': 'US', 'state': 'FL', 'display_address': ['179 NW 25th St', 'Miami, FL 33127']}","{'latitude': 25.8009326, 'longitude': -80.19865365767012}",Miami
"['Musicians', 'Party & Event Planning', 'Eatertainment']",Mariachi los Mensajeros,4.5,36,"{'address1': '10720 W Flagler St', 'address2': None, 'address3': None, 'city': 'Miami', 'zip_code': '33174', 'country': 'US', 'state': 'FL', 'display_address': ['10720 W Flagler St', 'Miami, FL 33174']}","{'latitude': 25.7671577, 'longitude': -80.3696058}",Miami
"['Paint & Sip', 'Art Classes']",Painting with a Twist,4.5,39,"{'address1': '15971 Pines Blvd', 'address2': None, 'address3': 'Westfork Plaza', 'city': 'Pembroke Pines', 'zip_code': '33027', 'country': 'US', 'state': 'FL', 'display_address': ['15971 Pines Blvd', 'Westfork Plaza', 'Pembroke Pines, FL 33027']}","{'latitude': 26.0078849, 'longitude': -80.3615364}",Miami
"['Gun/Rifle Ranges', 'Museums']",Lock and Load Miami Machine Gun Experience & Range,4.5,164,"{'address1': '2545 North Miami Ave', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33127', 'country': 'US', 'state': 'FL', 'display_address': ['2545 North Miami Ave', 'Miami, FL 33127']}","{'latitude': 25.8013449, 'longitude': -80.1945177}",Miami
"['Arcades', 'Pop-up Shops']",Stranger Things: The Official Store - Miami,4.5,17,"{'address1': '19501 Biscayne Blvd', 'address2': None, 'address3': '', 'city': 'Aventura', 'zip_code': '33180', 'country': 'US', 'state': 'FL', 'display_address': ['19501 Biscayne Blvd', 'Aventura, FL 33180']}","{'latitude': 25.955866518524484, 'longitude': -80.14149232653106}",Miami
"['Performing Arts', 'Musicians']",Mariachi Voces de America,4.5,10,"{'address1': '', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33024', 'country': 'US', 'state': 'FL', 'display_address': ['Miami, FL 33024']}","{'latitude': 26.01645, 'longitude': -80.2456}",Miami
['Cinema'],O Cinema South Beach,4.5,42,"{'address1': '1130 Washington Ave', 'address2': '', 'address3': '', 'city': 'Miami Beach', 'zip_code': '33139', 'country': 'US', 'state': 'FL', 'display_address': ['1130 Washington Ave', 'Miami Beach, FL 33139']}","{'latitude': 25.782914, 'longitude': -80.1326305}",Miami
"['Clowns', 'Magicians', 'Performing Arts']",All-In-One Kids Entertainment,4.5,16,"{'address1': '8628 NW 44th St', 'address2': None, 'address3': '', 'city': 'sunrise', 'zip_code': '33351', 'country': 'US', 'state': 'FL', 'display_address': ['8628 NW 44th St', 'sunrise, FL 33351']}","{'latitude': 26.1790823, 'longitude': -80.2678559}",Miami
['Performing Arts'],Amparo,4.5,32,"{'address1': '221 NE 17th St', 'address2': None, 'address3': '', 'city': 'Miami', 'zip_code': '33132', 'country': 'US', 'state': 'FL', 'display_address': ['221 NE 17th St', 'Miami, FL 33132']}","{'latitude': 25.79172, 'longitude': -80.19018}",Miami
"['Arcades', 'LAN Centers', 'Beer Bar']",Arcade Odyssey,4.5,197,"{'address1': '12045 SW 117th Ave', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33186', 'country': 'US', 'state': 'FL', 'display_address': ['12045 SW 117th Ave', 'Miami, FL 33186']}","{'latitude': 25.655418503709132, 'longitude': -80.38271}",Miami
